Tout,Bottom,Mid,top,elbow,wrist
20.62,-0.435584337,0.21850283,0.217068918,0.21850283,0.217068918
20.64,-0.366511898,0.183759789,0.18274461,0.183759789,0.18274461
20.66,-0.308174419,0.154443848,0.153726113,0.154443848,0.153726113
20.68,-0.258944313,0.129724205,0.129217463,0.129724205,0.129217463
20.7,-0.217434972,0.108895353,0.108538054,0.108895353,0.108538054
20.72,-0.182472484,0.091361604,0.091109954,0.091361604,0.091109954
20.74,-0.153032788,0.076604617,0.076427625,0.076604617,0.076427625
20.76,-0.128272078,0.064198053,0.064073704,0.064198053,0.064073704
20.78,-0.107463868,0.053775481,0.053688197,0.053775481,0.053688197
20.8,-0.089979206,0.045020142,0.044958954,0.045020142,0.044958954
20.82,-0.075304721,0.037673757,0.037630899,0.037673757,0.037630899
20.84,-0.062993005,0.031511478,0.031481489,0.031511478,0.031481489
20.86,-0.052671303,0.026346124,0.026325157,0.026346124,0.026325157
20.88,-0.04402201,0.022018322,0.022003675,0.022018322,0.022003675
20.9,-0.036776451,0.018393332,0.018383111,0.018393332,0.018383111
20.92,-0.030711727,0.015359426,0.015352297,0.015359426,0.015352297
20.94,-0.025638161,0.012821563,0.012816595,0.012821563,0.012816595
20.96,-0.021393536,0.010698497,0.010695038,0.010698497,0.010695038
20.98,-0.017845744,0.008924075,0.008921668,0.008924075,0.008921668
21,-0.014881173,0.007441423,0.007439749,0.007441423,0.007439749
21.02,-0.01240533,0.006203246,0.006202083,0.006203246,0.006202083
21.04,-0.01033775,0.005169279,0.005168471,0.005169279,0.005168471
21.06,-0.008612119,0.00430634,0.004305779,0.00430634,0.004305779
21.08,-0.007172509,0.003586449,0.00358606,0.003586449,0.00358606
21.1,-0.005972027,0.002986148,0.002985879,0.002986148,0.002985879
21.12,-0.004970797,0.002485492,0.002485305,0.002485492,0.002485305
21.14,-0.004136379,0.002068254,0.002068125,0.002068254,0.002068125
21.16,-0.003441173,0.001720631,0.001720542,0.001720631,0.001720542
21.18,-0.002862186,0.001431124,0.001431062,0.001431124,0.001431062
21.2,-0.002379873,0.001189958,0.001189915,0.001189958,0.001189915
21.22,-0.001978442,0.000989236,0.000989206,0.000989236,0.000989206
21.24,-0.001644348,0.000822184,0.000822164,0.000822184,0.000822164
21.26,-0.001366386,0.0006832,0.000683186,0.0006832,0.000683186
21.28,-0.00113512,0.000567565,0.000567555,0.000567565,0.000567555
21.3,-0.000942818,0.000471412,0.000471406,0.000471412,0.000471406
21.32,-0.000782933,0.000391469,0.000391464,0.000391469,0.000391464
21.34,-0.00065006,0.000325032,0.000325029,0.000325032,0.000325029
21.36,-0.000539596,0.000269799,0.000269797,0.000269799,0.000269797
21.38,-0.00044783,0.000223916,0.000223914,0.000223916,0.000223914
21.4,-0.000371613,0.000185807,0.000185806,0.000185807,0.000185806
21.42,-0.000308302,0.000154151,0.000154151,0.000154151,0.000154151
