t_ms_full,bottom_raw,mid_raw,top_raw,elbow_raw,wrist_raw,bottom_tx,mid_tx,top_tx,elbow_tx,wrist_tx
4997,29.3637626712108,5.52638814960837,-26.80482144265,0,0,29,6,-27,0,0
4997,29.3926255224339,5.49065961344229,-26.7912953658021,0,0,29,5,-27,0,0
4998,29.421488373657,5.45493107727615,-26.7777692889542,0,0,29,5,-27,0,0
4998,29.4500570647746,5.41911907987681,-26.7640330139522,0,0,29,5,-27,0,0
4999,29.4786129137842,5.38330343882167,-26.7502875623578,0,0,29,5,-27,0,0
4999,29.5071687627938,5.34748779776653,-26.7365421107633,0,0,30,5,-27,0,0
5000,29.5356807483312,5.31165974607949,-26.7227655092142,0,0,30,5,-27,0,0
5000,29.5639764041683,5.27577048987983,-26.7088352982205,0,0,30,5,-27,0,0
5001,29.5921592688198,5.23984939647698,-26.6948254116478,0,0,30,5,-27,0,0
5001,29.6202118102857,5.20389159840718,-26.6807237884562,0,0,30,5,-27,0,0
5002,29.6481967754379,5.16791480978699,-26.6665747578018,0,0,30,5,-27,0,0
5002,29.6760583091514,5.13190335140321,-26.6523392018574,0,0,30,5,-27,0,0
5003,29.7038174358007,5.0958632179873,-26.6380322135508,0,0,30,5,-27,0,0
5003,29.7314774686453,5.05979533728598,-26.6236561039917,0,0,30,5,-27,0,0
5004,29.7590293489697,5.02369727273704,-26.6092049684646,0,0,30,5,-27,0,0
5004,29.7864641920165,4.98756654472955,-26.5946726435669,0,0,30,5,-27,0,0
5005,29.8138171827803,4.95141306889452,-26.5800839580706,0,0,30,5,-27,0,0
5005,29.8409220724873,4.91519064250843,-26.5653244389273,0,0,30,5,-27,0,0
5006,29.8680269621944,4.87896821612235,-26.550564919784,0,0,30,5,-27,0,0
5006,29.8951318519015,4.84274578973619,-26.5358054006406,0,0,30,5,-27,0,0
5007,29.922156578712,4.80650116735051,-26.520991066388,0,0,30,5,-27,0,0
5007,29.9489674233996,4.77019732395712,-26.5060304802852,0,0,30,5,-27,0,0
5008,29.9756562660253,4.73385980624317,-26.4909869924656,0,0,30,5,-26,0,0
5008,30.0022599436385,4.6974988079907,-26.4758857709214,0,0,30,5,-26,0,0
5009,30.0287058301098,4.66109435316225,-26.4606778296254,0,0,30,5,-26,0,0
5009,30.0551479971825,4.62468887713718,-26.4454673897238,0,0,30,5,-26,0,0
5010,30.0812651759285,4.58819417244612,-26.4300386302067,0,0,30,5,-26,0,0
5010,30.1073823546744,4.55169946775513,-26.4146098706897,0,0,30,5,-26,0,0
5011,30.1334995334204,4.51520476306414,-26.3991811111727,0,0,30,5,-26,0,0
5011,30.1595799792209,4.47870000796397,-26.3837278358099,0,0,30,4,-26,0,0
5012,30.1854239846848,4.44213056101622,-26.3681167583776,0,0,30,4,-26,0,0
5012,30.2111445447901,4.40552746067924,-26.3524237597788,0,0,30,4,-26,0,0
5013,30.2367344305039,4.36888881717563,-26.3366443541733,0,0,30,4,-26,0,0
5013,30.2622684856785,4.33223500959023,-26.320828117351,0,0,30,4,-26,0,0
5014,30.2876353153967,4.29553583942542,-26.3049017902453,0,0,30,4,-26,0,0
5014,30.3129473363935,4.25882184692929,-26.2889395678883,0,0,30,4,-26,0,0
5015,30.3380926417454,4.22206276827811,-26.2728681603543,0,0,30,4,-26,0,0
5015,30.3631963838502,4.18529249374624,-26.2567697254235,0,0,30,4,-26,0,0
5016,30.3880126744016,4.14844478846661,-26.2404843689277,0,0,30,4,-26,0,0
5016,30.4128289649531,4.11159708318705,-26.2241990124319,0,0,30,4,-26,0,0
5017,30.4376452555045,4.07474937790748,-26.2079136559361,0,0,30,4,-26,0,0
5017,30.4623722305203,4.03787769818434,-26.1915706086191,0,0,30,4,-26,0,0
5018,30.4868931130337,4.00095069826363,-26.1750944417319,0,0,30,4,-26,0,0
5018,30.5112788796697,3.96398753939214,-26.1585315325298,0,0,31,4,-26,0,0
5019,30.5355674636693,3.92699841081636,-26.1419064281588,0,0,31,4,-26,0,0
5019,30.5597174285282,3.88997226510116,-26.1251927412044,0,0,31,4,-26,0,0
5020,30.5838146665932,3.85293208239875,-26.1084455842254,0,0,31,4,-26,0,0
5020,30.6076288348353,3.81581654052477,-26.0915187395915,0,0,31,4,-26,0,0
5021,30.6314430030775,3.77870099865073,-26.0745918949577,0,0,31,4,-26,0,0
5021,30.6552571713197,3.74158545677675,-26.0576650503238,0,0,31,4,-26,0,0
5022,30.6789741358458,3.70444413688421,-26.0406769024821,0,0,31,4,-26,0,0
5022,30.702481867914,3.66724735604129,-26.0235568946656,0,0,31,4,-26,0,0
5023,30.7258763407766,3.63002065708163,-26.0063658840355,0,0,31,4,-26,0,0
5023,30.7491260088755,3.59275578455192,-25.9890843855992,0,0,31,4,-26,0,0
5024,30.7722859075096,3.55546730733555,-25.971747024645,0,0,31,4,-26,0,0
5024,30.7953403699315,3.5181511058954,-25.9543440519343,0,0,31,4,-26,0,0
5025,30.8182520000237,3.48079745712234,-25.9368526384555,0,0,31,3,-26,0,0
5025,30.8410862130421,3.44342351138331,-25.9193132888723,0,0,31,3,-26,0,0
5026,30.8637708535016,3.40601047312727,-25.9016818365272,0,0,31,3,-26,0,0
5026,30.8863590865629,3.36857223768357,-25.8839910190973,0,0,31,3,-26,0,0
5027,30.9088168979083,3.33110004952796,-25.8662204901799,0,0,31,3,-26,0,0
5027,30.9310450547808,3.29356807537651,-25.8483096004373,0,0,31,3,-26,0,0
5028,30.9532732116532,3.25603610122514,-25.8303987106947,0,0,31,3,-26,0,0
5028,30.9755013685257,3.21850412707376,-25.8124878209521,0,0,31,3,-26,0,0
5029,30.9976131327844,3.18094195719542,-25.7945062896153,0,0,31,3,-26,0,0
5029,31.0195206615256,3.14332680251245,-25.7764008026246,0,0,31,3,-26,0,0
5030,31.0412807229427,3.10567350269238,-25.7582063781985,0,0,31,3,-26,0,0
5030,31.0629467495657,3.06799591629559,-25.7399554204377,0,0,31,3,-26,0,0
5031,31.0844566716941,3.03027804333139,-25.7216107616983,0,0,31,3,-26,0,0
5031,31.1059414603195,2.99255371364878,-25.7032511223428,0,0,31,3,-26,0,0
5032,31.1270932495896,2.9547438374716,-25.6846930014812,0,0,31,3,-26,0,0
5032,31.1482450388596,2.91693396129449,-25.6661348806195,0,0,31,3,-26,0,0
5033,31.1693968281297,2.87912408511738,-25.6475767597579,0,0,31,3,-26,0,0
5033,31.1904979275121,2.84130124398499,-25.628988626685,0,0,31,3,-26,0,0
5034,31.2113507339658,2.80341489819216,-25.6102534901415,0,0,31,3,-26,0,0
5034,31.2320678918281,2.76549398106764,-25.5914384939748,0,0,31,3,-26,0,0
5035,31.2526417652102,2.72753662634688,-25.5725394493369,0,0,31,3,-26,0,0
5035,31.2731562095456,2.68956418029531,-25.55360563038,0,0,31,3,-26,0,0
5036,31.2934909077474,2.6515461385245,-25.5345668283698,0,0,31,3,-26,0,0
5036,31.3137663807495,2.61351311641005,-25.5154936133633,0,0,31,3,-26,0,0
5037,31.3338602060532,2.57543414856698,-25.4963148513661,0,0,31,3,-25,0,0
5037,31.3539141176395,2.53734512234646,-25.4771130606913,0,0,31,3,-25,0,0
5038,31.3736505491446,2.4991760901848,-25.4577280962376,0,0,31,2,-25,0,0
5038,31.3933869806498,2.46100705802307,-25.438343131784,0,0,31,2,-25,0,0
5039,31.4131234121548,2.42283802586141,-25.4189581673303,0,0,31,2,-25,0,0
5039,31.4327749252753,2.38464766411191,-25.3995245333685,0,0,31,2,-25,0,0
5040,31.4521907487927,2.34639810243625,-25.3799558179741,0,0,31,2,-25,0,0
5040,31.4714683821602,2.30811392884858,-25.3603083801807,0,0,31,2,-25,0,0
5041,31.4906444986208,2.26980437024024,-25.3406032688306,0,0,31,2,-25,0,0
